,LapTime,Driver,LapNumber,Stint,Compound,TyreLife,Team,TrackStatus,Position,FastestQualifyingLapTime
0,100236.0,VER,1.0,1.0,SOFT,4.0,Red Bull Racing,1,2.0,90681.0
1,97880.0,VER,2.0,1.0,SOFT,5.0,Red Bull Racing,1,2.0,90681.0
2,98357.0,VER,3.0,1.0,SOFT,6.0,Red Bull Racing,1,2.0,90681.0
3,98566.0,VER,4.0,1.0,SOFT,7.0,Red Bull Racing,1,2.0,90681.0
4,98877.0,VER,5.0,1.0,SOFT,8.0,Red Bull Racing,1,2.0,90681.0
5,98940.0,VER,6.0,1.0,SOFT,9.0,Red Bull Racing,1,2.0,90681.0
6,99062.0,VER,7.0,1.0,SOFT,10.0,Red Bull Racing,1,2.0,90681.0
7,99092.0,VER,8.0,1.0,SOFT,11.0,Red Bull Racing,1,2.0,90681.0
8,99251.0,VER,9.0,1.0,SOFT,12.0,Red Bull Racing,1,2.0,90681.0
9,99392.0,VER,10.0,1.0,SOFT,13.0,Red Bull Racing,1,2.0,90681.0
10,99479.0,VER,11.0,1.0,SOFT,14.0,Red Bull Racing,1,2.0,90681.0
11,99410.0,VER,12.0,1.0,SOFT,15.0,Red Bull Racing,1,2.0,90681.0
12,99534.0,VER,13.0,1.0,SOFT,16.0,Red Bull Racing,1,2.0,90681.0
13,102050.0,VER,14.0,1.0,SOFT,17.0,Red Bull Racing,1,2.0,90681.0
14,117409.0,VER,15.0,2.0,SOFT,1.0,Red Bull Racing,2,4.0,90681.0
15,96905.0,VER,16.0,2.0,SOFT,2.0,Red Bull Racing,1,2.0,90681.0
16,97587.0,VER,17.0,2.0,SOFT,3.0,Red Bull Racing,1,2.0,90681.0
17,97717.0,VER,18.0,2.0,SOFT,4.0,Red Bull Racing,1,2.0,90681.0
18,97728.0,VER,19.0,2.0,SOFT,5.0,Red Bull Racing,1,2.0,90681.0
19,98257.0,VER,20.0,2.0,SOFT,6.0,Red Bull Racing,1,2.0,90681.0
20,98294.0,VER,21.0,2.0,SOFT,7.0,Red Bull Racing,1,2.0,90681.0
21,98243.0,VER,22.0,2.0,SOFT,8.0,Red Bull Racing,1,2.0,90681.0
22,98091.0,VER,23.0,2.0,SOFT,9.0,Red Bull Racing,1,2.0,90681.0
23,98187.0,VER,24.0,2.0,SOFT,10.0,Red Bull Racing,1,2.0,90681.0
24,98372.0,VER,25.0,2.0,SOFT,11.0,Red Bull Racing,1,2.0,90681.0
25,98476.0,VER,26.0,2.0,SOFT,12.0,Red Bull Racing,1,2.0,90681.0
26,98823.0,VER,27.0,2.0,SOFT,13.0,Red Bull Racing,1,2.0,90681.0
27,98782.0,VER,28.0,2.0,SOFT,14.0,Red Bull Racing,1,2.0,90681.0
28,99384.0,VER,29.0,2.0,SOFT,15.0,Red Bull Racing,1,2.0,90681.0
29,101537.0,VER,30.0,2.0,SOFT,16.0,Red Bull Racing,1,2.0,90681.0
30,117239.0,VER,31.0,3.0,MEDIUM,1.0,Red Bull Racing,1,4.0,90681.0
31,96527.0,VER,32.0,3.0,MEDIUM,2.0,Red Bull Racing,1,4.0,90681.0
32,96347.0,VER,33.0,3.0,MEDIUM,3.0,Red Bull Racing,1,4.0,90681.0
33,96384.0,VER,34.0,3.0,MEDIUM,4.0,Red Bull Racing,1,2.0,90681.0
34,96731.0,VER,35.0,3.0,MEDIUM,5.0,Red Bull Racing,1,2.0,90681.0
35,96920.0,VER,36.0,3.0,MEDIUM,6.0,Red Bull Racing,1,2.0,90681.0
36,96962.0,VER,37.0,3.0,MEDIUM,7.0,Red Bull Racing,1,2.0,90681.0
37,96898.0,VER,38.0,3.0,MEDIUM,8.0,Red Bull Racing,1,2.0,90681.0
38,97255.0,VER,39.0,3.0,MEDIUM,9.0,Red Bull Racing,1,2.0,90681.0
39,97308.0,VER,40.0,3.0,MEDIUM,10.0,Red Bull Racing,1,2.0,90681.0
40,97284.0,VER,41.0,3.0,MEDIUM,11.0,Red Bull Racing,1,2.0,90681.0
41,97855.0,VER,42.0,3.0,MEDIUM,12.0,Red Bull Racing,1,2.0,90681.0
42,99787.0,VER,43.0,3.0,MEDIUM,13.0,Red Bull Racing,1,2.0,90681.0
43,117242.0,VER,44.0,4.0,SOFT,4.0,Red Bull Racing,1,3.0,90681.0
44,95747.0,VER,45.0,4.0,SOFT,5.0,Red Bull Racing,1,2.0,90681.0
45,129941.0,VER,46.0,4.0,SOFT,6.0,Red Bull Racing,64,2.0,90681.0
46,134782.0,VER,47.0,4.0,SOFT,7.0,Red Bull Racing,4,2.0,90681.0
47,,VER,48.0,4.0,SOFT,8.0,Red Bull Racing,4,2.0,90681.0
48,145374.0,VER,49.0,4.0,SOFT,9.0,Red Bull Racing,4,2.0,90681.0
49,144508.0,VER,50.0,4.0,SOFT,10.0,Red Bull Racing,4,2.0,90681.0
50,95440.0,VER,51.0,4.0,SOFT,11.0,Red Bull Racing,1,2.0,90681.0
51,95462.0,VER,52.0,4.0,SOFT,12.0,Red Bull Racing,1,2.0,90681.0
52,95927.0,VER,53.0,4.0,SOFT,13.0,Red Bull Racing,1,2.0,90681.0
53,124094.0,VER,54.0,4.0,SOFT,14.0,Red Bull Racing,1,13.0,90681.0
54,104270.0,GAS,1.0,1.0,SOFT,4.0,AlphaTauri,1,8.0,91635.0
55,100169.0,GAS,2.0,1.0,SOFT,5.0,AlphaTauri,1,8.0,91635.0
56,99968.0,GAS,3.0,1.0,SOFT,6.0,AlphaTauri,1,8.0,91635.0
57,100158.0,GAS,4.0,1.0,SOFT,7.0,AlphaTauri,1,8.0,91635.0
58,100249.0,GAS,5.0,1.0,SOFT,8.0,AlphaTauri,1,8.0,91635.0
59,100474.0,GAS,6.0,1.0,SOFT,9.0,AlphaTauri,1,8.0,91635.0
60,100433.0,GAS,7.0,1.0,SOFT,10.0,AlphaTauri,1,8.0,91635.0
61,100684.0,GAS,8.0,1.0,SOFT,11.0,AlphaTauri,1,8.0,91635.0
62,100844.0,GAS,9.0,1.0,SOFT,12.0,AlphaTauri,1,8.0,91635.0
63,100981.0,GAS,10.0,1.0,SOFT,13.0,AlphaTauri,1,8.0,91635.0
64,101089.0,GAS,11.0,1.0,SOFT,14.0,AlphaTauri,1,8.0,91635.0
65,101347.0,GAS,12.0,1.0,SOFT,15.0,AlphaTauri,1,7.0,91635.0
66,101256.0,GAS,13.0,1.0,SOFT,16.0,AlphaTauri,1,7.0,91635.0
67,104005.0,GAS,14.0,1.0,SOFT,17.0,AlphaTauri,2,7.0,91635.0
68,121397.0,GAS,15.0,2.0,MEDIUM,1.0,AlphaTauri,1,12.0,91635.0
69,98705.0,GAS,16.0,2.0,MEDIUM,2.0,AlphaTauri,1,8.0,91635.0
70,98868.0,GAS,17.0,2.0,MEDIUM,3.0,AlphaTauri,1,8.0,91635.0
71,98888.0,GAS,18.0,2.0,MEDIUM,4.0,AlphaTauri,1,8.0,91635.0
72,99416.0,GAS,19.0,2.0,MEDIUM,5.0,AlphaTauri,1,8.0,91635.0
73,99134.0,GAS,20.0,2.0,MEDIUM,6.0,AlphaTauri,1,8.0,91635.0
74,99083.0,GAS,21.0,2.0,MEDIUM,7.0,AlphaTauri,1,8.0,91635.0
75,99152.0,GAS,22.0,2.0,MEDIUM,8.0,AlphaTauri,1,8.0,91635.0
76,99310.0,GAS,23.0,2.0,MEDIUM,9.0,AlphaTauri,1,8.0,91635.0
77,99363.0,GAS,24.0,2.0,MEDIUM,10.0,AlphaTauri,1,8.0,91635.0
78,99485.0,GAS,25.0,2.0,MEDIUM,11.0,AlphaTauri,1,8.0,91635.0
79,99513.0,GAS,26.0,2.0,MEDIUM,12.0,AlphaTauri,1,8.0,91635.0
80,99919.0,GAS,27.0,2.0,MEDIUM,13.0,AlphaTauri,1,8.0,91635.0
81,99665.0,GAS,28.0,2.0,MEDIUM,14.0,AlphaTauri,1,7.0,91635.0
82,99677.0,GAS,29.0,2.0,MEDIUM,15.0,AlphaTauri,1,7.0,91635.0
83,99800.0,GAS,30.0,2.0,MEDIUM,16.0,AlphaTauri,1,7.0,91635.0
84,100874.0,GAS,31.0,2.0,MEDIUM,17.0,AlphaTauri,1,8.0,91635.0
85,102305.0,GAS,32.0,2.0,MEDIUM,18.0,AlphaTauri,1,8.0,91635.0
86,120808.0,GAS,33.0,3.0,HARD,1.0,AlphaTauri,1,10.0,91635.0
87,97324.0,GAS,34.0,3.0,HARD,2.0,AlphaTauri,1,10.0,91635.0
88,97540.0,GAS,35.0,3.0,HARD,3.0,AlphaTauri,1,9.0,91635.0
89,99827.0,GAS,36.0,3.0,HARD,4.0,AlphaTauri,1,10.0,91635.0
90,99596.0,GAS,37.0,3.0,HARD,5.0,AlphaTauri,1,8.0,91635.0
91,98221.0,GAS,38.0,3.0,HARD,6.0,AlphaTauri,1,8.0,91635.0
92,98552.0,GAS,39.0,3.0,HARD,7.0,AlphaTauri,1,8.0,91635.0
93,98204.0,GAS,40.0,3.0,HARD,8.0,AlphaTauri,1,8.0,91635.0
94,98301.0,GAS,41.0,3.0,HARD,9.0,AlphaTauri,1,8.0,91635.0
95,98329.0,GAS,42.0,3.0,HARD,10.0,AlphaTauri,1,8.0,91635.0
96,98478.0,GAS,43.0,3.0,HARD,11.0,AlphaTauri,1,8.0,91635.0
97,98704.0,GAS,44.0,3.0,HARD,12.0,AlphaTauri,1,8.0,91635.0
98,,GAS,45.0,3.0,HARD,13.0,AlphaTauri,,,91635.0
99,102993.0,PER,1.0,1.0,SOFT,4.0,Red Bull Racing,1,6.0,90921.0
100,99092.0,PER,2.0,1.0,SOFT,5.0,Red Bull Racing,1,6.0,90921.0
101,99473.0,PER,3.0,1.0,SOFT,6.0,Red Bull Racing,1,5.0,90921.0
102,98741.0,PER,4.0,1.0,SOFT,7.0,Red Bull Racing,1,5.0,90921.0
103,98861.0,PER,5.0,1.0,SOFT,8.0,Red Bull Racing,1,5.0,90921.0
104,99218.0,PER,6.0,1.0,SOFT,9.0,Red Bull Racing,1,5.0,90921.0
105,99264.0,PER,7.0,1.0,SOFT,10.0,Red Bull Racing,1,5.0,90921.0
106,99825.0,PER,8.0,1.0,SOFT,11.0,Red Bull Racing,1,5.0,90921.0
107,100215.0,PER,9.0,1.0,SOFT,12.0,Red Bull Racing,1,5.0,90921.0
108,99806.0,PER,10.0,1.0,SOFT,13.0,Red Bull Racing,1,4.0,90921.0
109,99931.0,PER,11.0,1.0,SOFT,14.0,Red Bull Racing,1,4.0,90921.0
110,99754.0,PER,12.0,1.0,SOFT,15.0,Red Bull Racing,1,4.0,90921.0
111,99992.0,PER,13.0,1.0,SOFT,16.0,Red Bull Racing,1,4.0,90921.0
112,100035.0,PER,14.0,1.0,SOFT,17.0,Red Bull Racing,2,3.0,90921.0
113,102445.0,PER,15.0,1.0,SOFT,18.0,Red Bull Racing,2,2.0,90921.0
114,118858.0,PER,16.0,2.0,MEDIUM,1.0,Red Bull Racing,1,4.0,90921.0
115,96634.0,PER,17.0,2.0,MEDIUM,2.0,Red Bull Racing,1,4.0,90921.0
116,96852.0,PER,18.0,2.0,MEDIUM,3.0,Red Bull Racing,1,4.0,90921.0
117,97214.0,PER,19.0,2.0,MEDIUM,4.0,Red Bull Racing,1,4.0,90921.0
118,97532.0,PER,20.0,2.0,MEDIUM,5.0,Red Bull Racing,1,4.0,90921.0
119,97629.0,PER,21.0,2.0,MEDIUM,6.0,Red Bull Racing,1,4.0,90921.0
120,97862.0,PER,22.0,2.0,MEDIUM,7.0,Red Bull Racing,1,4.0,90921.0
121,97960.0,PER,23.0,2.0,MEDIUM,8.0,Red Bull Racing,1,4.0,90921.0
122,98155.0,PER,24.0,2.0,MEDIUM,9.0,Red Bull Racing,1,4.0,90921.0
123,98419.0,PER,25.0,2.0,MEDIUM,10.0,Red Bull Racing,1,4.0,90921.0
124,98693.0,PER,26.0,2.0,MEDIUM,11.0,Red Bull Racing,1,4.0,90921.0
125,98563.0,PER,27.0,2.0,MEDIUM,12.0,Red Bull Racing,1,4.0,90921.0
126,98697.0,PER,28.0,2.0,MEDIUM,13.0,Red Bull Racing,1,4.0,90921.0
127,98990.0,PER,29.0,2.0,MEDIUM,14.0,Red Bull Racing,1,4.0,90921.0
128,98879.0,PER,30.0,2.0,MEDIUM,15.0,Red Bull Racing,1,4.0,90921.0
129,99292.0,PER,31.0,2.0,MEDIUM,16.0,Red Bull Racing,1,3.0,90921.0
130,99222.0,PER,32.0,2.0,MEDIUM,17.0,Red Bull Racing,1,2.0,90921.0
131,101868.0,PER,33.0,2.0,MEDIUM,18.0,Red Bull Racing,1,2.0,90921.0
132,117056.0,PER,34.0,3.0,SOFT,4.0,Red Bull Racing,1,4.0,90921.0
133,96302.0,PER,35.0,3.0,SOFT,5.0,Red Bull Racing,1,4.0,90921.0
134,96511.0,PER,36.0,3.0,SOFT,6.0,Red Bull Racing,1,4.0,90921.0
135,97119.0,PER,37.0,3.0,SOFT,7.0,Red Bull Racing,1,4.0,90921.0
136,96755.0,PER,38.0,3.0,SOFT,8.0,Red Bull Racing,1,4.0,90921.0
137,96987.0,PER,39.0,3.0,SOFT,9.0,Red Bull Racing,1,4.0,90921.0
138,97178.0,PER,40.0,3.0,SOFT,10.0,Red Bull Racing,1,4.0,90921.0
139,97639.0,PER,41.0,3.0,SOFT,11.0,Red Bull Racing,1,4.0,90921.0
140,97255.0,PER,42.0,3.0,SOFT,12.0,Red Bull Racing,1,4.0,90921.0
141,100228.0,PER,43.0,3.0,SOFT,13.0,Red Bull Racing,1,4.0,90921.0
142,116521.0,PER,44.0,4.0,SOFT,4.0,Red Bull Racing,1,5.0,90921.0
143,103562.0,PER,45.0,4.0,SOFT,5.0,Red Bull Racing,6,4.0,90921.0
144,128400.0,PER,46.0,4.0,SOFT,6.0,Red Bull Racing,64,4.0,90921.0
145,132050.0,PER,47.0,4.0,SOFT,7.0,Red Bull Racing,4,4.0,90921.0
146,136085.0,PER,48.0,4.0,SOFT,8.0,Red Bull Racing,4,4.0,90921.0
147,145098.0,PER,49.0,4.0,SOFT,9.0,Red Bull Racing,4,4.0,90921.0
148,141747.0,PER,50.0,4.0,SOFT,10.0,Red Bull Racing,4,4.0,90921.0
149,96389.0,PER,51.0,4.0,SOFT,11.0,Red Bull Racing,1,4.0,90921.0
150,96089.0,PER,52.0,4.0,SOFT,12.0,Red Bull Racing,1,4.0,90921.0
151,96113.0,PER,53.0,4.0,SOFT,13.0,Red Bull Racing,1,4.0,90921.0
152,96755.0,PER,54.0,4.0,SOFT,14.0,Red Bull Racing,1,3.0,90921.0
153,96436.0,PER,55.0,4.0,SOFT,15.0,Red Bull Racing,1,3.0,90921.0
154,96286.0,PER,56.0,4.0,SOFT,16.0,Red Bull Racing,1,3.0,90921.0
155,,PER,57.0,4.0,SOFT,17.0,Red Bull Racing,,,90921.0
156,105174.0,ALO,1.0,1.0,SOFT,4.0,Alpine,1,9.0,91621.0
157,100412.0,ALO,2.0,1.0,SOFT,5.0,Alpine,1,9.0,91621.0
158,100226.0,ALO,3.0,1.0,SOFT,6.0,Alpine,1,9.0,91621.0
159,100097.0,ALO,4.0,1.0,SOFT,7.0,Alpine,1,9.0,91621.0
160,100465.0,ALO,5.0,1.0,SOFT,8.0,Alpine,1,9.0,91621.0
161,100658.0,ALO,6.0,1.0,SOFT,9.0,Alpine,1,9.0,91621.0
162,100823.0,ALO,7.0,1.0,SOFT,10.0,Alpine,1,9.0,91621.0
163,102371.0,ALO,8.0,1.0,SOFT,11.0,Alpine,1,10.0,91621.0
164,101448.0,ALO,9.0,1.0,SOFT,12.0,Alpine,1,10.0,91621.0
165,101873.0,ALO,10.0,1.0,SOFT,13.0,Alpine,1,10.0,91621.0
166,104265.0,ALO,11.0,1.0,SOFT,14.0,Alpine,1,11.0,91621.0
167,120053.0,ALO,12.0,2.0,MEDIUM,1.0,Alpine,1,20.0,91621.0
168,99050.0,ALO,13.0,2.0,MEDIUM,2.0,Alpine,1,17.0,91621.0
169,99704.0,ALO,14.0,2.0,MEDIUM,3.0,Alpine,2,14.0,91621.0
170,100256.0,ALO,15.0,2.0,MEDIUM,4.0,Alpine,1,11.0,91621.0
171,100572.0,ALO,16.0,2.0,MEDIUM,5.0,Alpine,1,9.0,91621.0
172,99434.0,ALO,17.0,2.0,MEDIUM,6.0,Alpine,1,9.0,91621.0
173,99809.0,ALO,18.0,2.0,MEDIUM,7.0,Alpine,1,9.0,91621.0
174,99785.0,ALO,19.0,2.0,MEDIUM,8.0,Alpine,1,9.0,91621.0
175,99874.0,ALO,20.0,2.0,MEDIUM,9.0,Alpine,1,9.0,91621.0
176,100087.0,ALO,21.0,2.0,MEDIUM,10.0,Alpine,1,9.0,91621.0
177,100504.0,ALO,22.0,2.0,MEDIUM,11.0,Alpine,1,9.0,91621.0
178,99922.0,ALO,23.0,2.0,MEDIUM,12.0,Alpine,1,9.0,91621.0
179,100496.0,ALO,24.0,2.0,MEDIUM,13.0,Alpine,1,9.0,91621.0
180,102836.0,ALO,25.0,2.0,MEDIUM,14.0,Alpine,1,10.0,91621.0
181,120922.0,ALO,26.0,3.0,HARD,1.0,Alpine,1,14.0,91621.0
182,97995.0,ALO,27.0,3.0,HARD,2.0,Alpine,1,14.0,91621.0
183,98908.0,ALO,28.0,3.0,HARD,3.0,Alpine,1,14.0,91621.0
184,98680.0,ALO,29.0,3.0,HARD,4.0,Alpine,1,14.0,91621.0
185,98626.0,ALO,30.0,3.0,HARD,5.0,Alpine,1,12.0,91621.0
186,98958.0,ALO,31.0,3.0,HARD,6.0,Alpine,1,11.0,91621.0
187,99153.0,ALO,32.0,3.0,HARD,7.0,Alpine,1,11.0,91621.0
188,99686.0,ALO,33.0,3.0,HARD,8.0,Alpine,1,11.0,91621.0
189,99208.0,ALO,34.0,3.0,HARD,9.0,Alpine,1,11.0,91621.0
190,99214.0,ALO,35.0,3.0,HARD,10.0,Alpine,1,11.0,91621.0
191,99389.0,ALO,36.0,3.0,HARD,11.0,Alpine,1,11.0,91621.0
192,99426.0,ALO,37.0,3.0,HARD,12.0,Alpine,1,10.0,91621.0
193,100034.0,ALO,38.0,3.0,HARD,13.0,Alpine,1,10.0,91621.0
194,100009.0,ALO,39.0,3.0,HARD,14.0,Alpine,1,10.0,91621.0
195,100295.0,ALO,40.0,3.0,HARD,15.0,Alpine,1,11.0,91621.0
196,99854.0,ALO,41.0,3.0,HARD,16.0,Alpine,1,11.0,91621.0
197,102925.0,ALO,42.0,3.0,HARD,17.0,Alpine,1,12.0,91621.0
198,117366.0,ALO,43.0,4.0,SOFT,1.0,Alpine,1,14.0,91621.0
199,96733.0,ALO,44.0,4.0,SOFT,2.0,Alpine,1,14.0,91621.0
200,127867.0,ALO,45.0,4.0,SOFT,3.0,Alpine,64,13.0,91621.0
201,130714.0,ALO,46.0,4.0,SOFT,4.0,Alpine,4,12.0,91621.0
202,111463.0,ALO,47.0,4.0,SOFT,5.0,Alpine,4,12.0,91621.0
203,105574.0,ALO,48.0,4.0,SOFT,6.0,Alpine,4,12.0,91621.0
204,113977.0,ALO,49.0,4.0,SOFT,7.0,Alpine,4,12.0,91621.0
205,133261.0,ALO,50.0,4.0,SOFT,8.0,Alpine,4,12.0,91621.0
206,99006.0,ALO,51.0,4.0,SOFT,9.0,Alpine,1,11.0,91621.0
207,97538.0,ALO,52.0,4.0,SOFT,10.0,Alpine,1,11.0,91621.0
208,97396.0,ALO,53.0,4.0,SOFT,11.0,Alpine,1,11.0,91621.0
209,97303.0,ALO,54.0,4.0,SOFT,12.0,Alpine,1,10.0,91621.0
210,97672.0,ALO,55.0,4.0,SOFT,13.0,Alpine,1,10.0,91621.0
211,97642.0,ALO,56.0,4.0,SOFT,14.0,Alpine,1,10.0,91621.0
212,98986.0,ALO,57.0,4.0,SOFT,15.0,Alpine,1,9.0,91621.0
213,99070.0,LEC,1.0,1.0,SOFT,1.0,Ferrari,1,1.0,90558.0
214,97853.0,LEC,2.0,1.0,SOFT,2.0,Ferrari,1,1.0,90558.0
215,98272.0,LEC,3.0,1.0,SOFT,3.0,Ferrari,1,1.0,90558.0
216,98414.0,LEC,4.0,1.0,SOFT,4.0,Ferrari,1,1.0,90558.0
217,98471.0,LEC,5.0,1.0,SOFT,5.0,Ferrari,1,1.0,90558.0
218,98712.0,LEC,6.0,1.0,SOFT,6.0,Ferrari,1,1.0,90558.0
219,98835.0,LEC,7.0,1.0,SOFT,7.0,Ferrari,1,1.0,90558.0
220,98951.0,LEC,8.0,1.0,SOFT,8.0,Ferrari,1,1.0,90558.0
221,98807.0,LEC,9.0,1.0,SOFT,9.0,Ferrari,1,1.0,90558.0
222,99123.0,LEC,10.0,1.0,SOFT,10.0,Ferrari,1,1.0,90558.0
223,99306.0,LEC,11.0,1.0,SOFT,11.0,Ferrari,1,1.0,90558.0
224,99256.0,LEC,12.0,1.0,SOFT,12.0,Ferrari,1,1.0,90558.0
225,99279.0,LEC,13.0,1.0,SOFT,13.0,Ferrari,1,1.0,90558.0
226,99629.0,LEC,14.0,1.0,SOFT,14.0,Ferrari,1,1.0,90558.0
227,102041.0,LEC,15.0,1.0,SOFT,15.0,Ferrari,2,1.0,90558.0
228,117660.0,LEC,16.0,2.0,SOFT,4.0,Ferrari,1,1.0,90558.0
229,97520.0,LEC,17.0,2.0,SOFT,5.0,Ferrari,1,1.0,90558.0
230,97634.0,LEC,18.0,2.0,SOFT,6.0,Ferrari,1,1.0,90558.0
231,97408.0,LEC,19.0,2.0,SOFT,7.0,Ferrari,1,1.0,90558.0
232,97562.0,LEC,20.0,2.0,SOFT,8.0,Ferrari,1,1.0,90558.0
233,97807.0,LEC,21.0,2.0,SOFT,9.0,Ferrari,1,1.0,90558.0
234,97752.0,LEC,22.0,2.0,SOFT,10.0,Ferrari,1,1.0,90558.0
235,97774.0,LEC,23.0,2.0,SOFT,11.0,Ferrari,1,1.0,90558.0
236,97913.0,LEC,24.0,2.0,SOFT,12.0,Ferrari,1,1.0,90558.0
237,98061.0,LEC,25.0,2.0,SOFT,13.0,Ferrari,1,1.0,90558.0
238,98371.0,LEC,26.0,2.0,SOFT,14.0,Ferrari,1,1.0,90558.0
239,98785.0,LEC,27.0,2.0,SOFT,15.0,Ferrari,1,1.0,90558.0
240,99051.0,LEC,28.0,2.0,SOFT,16.0,Ferrari,1,1.0,90558.0
241,98887.0,LEC,29.0,2.0,SOFT,17.0,Ferrari,1,1.0,90558.0
242,99354.0,LEC,30.0,2.0,SOFT,18.0,Ferrari,1,1.0,90558.0
243,101545.0,LEC,31.0,2.0,SOFT,19.0,Ferrari,1,1.0,90558.0
244,116325.0,LEC,32.0,3.0,MEDIUM,1.0,Ferrari,1,3.0,90558.0
245,96674.0,LEC,33.0,3.0,MEDIUM,2.0,Ferrari,1,3.0,90558.0
246,96399.0,LEC,34.0,3.0,MEDIUM,3.0,Ferrari,1,1.0,90558.0
247,96501.0,LEC,35.0,3.0,MEDIUM,4.0,Ferrari,1,1.0,90558.0
248,96561.0,LEC,36.0,3.0,MEDIUM,5.0,Ferrari,1,1.0,90558.0
249,96663.0,LEC,37.0,3.0,MEDIUM,6.0,Ferrari,1,1.0,90558.0
250,96623.0,LEC,38.0,3.0,MEDIUM,7.0,Ferrari,1,1.0,90558.0
251,96939.0,LEC,39.0,3.0,MEDIUM,8.0,Ferrari,1,1.0,90558.0
252,96807.0,LEC,40.0,3.0,MEDIUM,9.0,Ferrari,1,1.0,90558.0
253,97044.0,LEC,41.0,3.0,MEDIUM,10.0,Ferrari,1,1.0,90558.0
254,97040.0,LEC,42.0,3.0,MEDIUM,11.0,Ferrari,1,1.0,90558.0
255,97346.0,LEC,43.0,3.0,MEDIUM,12.0,Ferrari,1,1.0,90558.0
256,97509.0,LEC,44.0,3.0,MEDIUM,13.0,Ferrari,1,1.0,90558.0
257,97413.0,LEC,45.0,3.0,MEDIUM,14.0,Ferrari,1,1.0,90558.0
258,125151.0,LEC,46.0,3.0,MEDIUM,15.0,Ferrari,64,1.0,90558.0
259,,LEC,47.0,4.0,SOFT,4.0,Ferrari,4,1.0,90558.0
260,,LEC,48.0,4.0,SOFT,5.0,Ferrari,4,1.0,90558.0
261,146221.0,LEC,49.0,4.0,SOFT,6.0,Ferrari,4,1.0,90558.0
262,144429.0,LEC,50.0,4.0,SOFT,7.0,Ferrari,4,1.0,90558.0
263,94570.0,LEC,51.0,4.0,SOFT,8.0,Ferrari,1,1.0,90558.0
264,95027.0,LEC,52.0,4.0,SOFT,9.0,Ferrari,1,1.0,90558.0
265,95127.0,LEC,53.0,4.0,SOFT,10.0,Ferrari,1,1.0,90558.0
266,95429.0,LEC,54.0,4.0,SOFT,11.0,Ferrari,1,1.0,90558.0
267,95427.0,LEC,55.0,4.0,SOFT,12.0,Ferrari,1,1.0,90558.0
268,95673.0,LEC,56.0,4.0,SOFT,13.0,Ferrari,1,1.0,90558.0
269,96373.0,LEC,57.0,4.0,SOFT,14.0,Ferrari,1,1.0,90558.0
270,110439.0,STR,1.0,1.0,SOFT,1.0,Aston Martin,1,17.0,93032.0
271,101019.0,STR,2.0,1.0,SOFT,2.0,Aston Martin,1,16.0,93032.0
272,100887.0,STR,3.0,1.0,SOFT,3.0,Aston Martin,1,16.0,93032.0
273,101931.0,STR,4.0,1.0,SOFT,4.0,Aston Martin,1,17.0,93032.0
274,101715.0,STR,5.0,1.0,SOFT,5.0,Aston Martin,1,17.0,93032.0
275,101897.0,STR,6.0,1.0,SOFT,6.0,Aston Martin,1,17.0,93032.0
276,101827.0,STR,7.0,1.0,SOFT,7.0,Aston Martin,1,17.0,93032.0
277,102174.0,STR,8.0,1.0,SOFT,8.0,Aston Martin,1,17.0,93032.0
278,101557.0,STR,9.0,1.0,SOFT,9.0,Aston Martin,1,16.0,93032.0
